date,name,category,value
2022-03-22,Ukraineunderattaсk,hashtag,9
2022-03-22,Johnsonout57,hashtag,9
2022-03-23,Stoprussianwarnow,hashtag,9
2022-03-23,Oprussia,hashtag,9
2022-03-22,Wtpblue,hashtag,9
2022-03-22,Bergenbelsen,hashtag,9
2022-03-23,Breaking,hashtag,9
2022-03-22,Breaking,hashtag,9
2022-03-22,Hostomel,hashtag,9
2022-03-22,Sb19,hashtag,9
2022-03-23,Test,hashtag,9
2022-03-23,Worldnews,hashtag,9
2022-03-23,Kremlin,hashtag,9
2022-03-22,Nftproject,hashtag,9
2022-03-22,Closethesky,hashtag,9
2022-03-22,Handle,hashtag,9
2022-03-22,Serbia,hashtag,8
2022-03-22,Dora,hashtag,8
2022-03-22,Freeukraine,hashtag,8
2022-03-22,Charkiv,hashtag,8
2022-03-22,Ukrainian war,hashtag,8
2022-03-22,Terrorussia,hashtag,8
2022-03-23,NATO,hashtag,8
2022-03-22,Peenemünde,hashtag,8
2022-03-22,Metaverse,hashtag,8
2022-03-22,Russiaukraine,hashtag,8
2022-03-23,Stopputin,hashtag,8
2022-03-23,Us,hashtag,8
2022-03-22,Saveukraine,hashtag,8
2022-03-22,Canada,hashtag,8
2022-03-22,Euco,hashtag,8
2022-03-23,Russiaukrainewar,hashtag,7
2022-03-23,Nfts,hashtag,7
2022-03-22,Donbellempire,hashtag,7
2022-03-23,Flagnetwork,hashtag,7
2022-03-22,Lviv,hashtag,7
2022-03-23,Eu,hashtag,7
2022-03-22,NATO,hashtag,7
2022-03-22,Vladimirputin,hashtag,7
2022-03-22,Donbelle,hashtag,7
2022-03-23,Biden,hashtag,7
2022-03-22,USA,hashtag,7
2022-03-22,Wearenato,hashtag,7
2022-03-22,Russiainvadesukraine,hashtag,7
2022-03-22,Mashkov,hashtag,7
2022-03-22,Smartnews,hashtag,7
2022-03-22,Nestle,hashtag,7
2022-03-22,Hunger,hashtag,7
2022-03-22,Refugees,hashtag,7
2022-03-22,Warinukraine,hashtag,7
2022-03-22,Renault,hashtag,7
2022-03-22,Afd,hashtag,7
2022-03-23,Germany,hashtag,7
2022-03-23,Stopputinnow,hashtag,7
2022-03-22,Donetsk,hashtag,7
2022-03-22,22 March,hashtag,7
2022-03-22,Afp,hashtag,7
2022-03-22,Stoprussianagression,hashtag,7
2022-03-23,Nftart,hashtag,7
2022-03-22,dpa,hashtag,7
2022-03-22,Forex,hashtag,7
2022-03-22,Ceek,hashtag,7
2022-03-22,Kremlin,hashtag,7
2022-03-22,Fuckputin,hashtag,7
2022-03-23,Putinswar,hashtag,7
2022-03-23,Kiev,hashtag,6
2022-03-22,Inflation,hashtag,6
2022-03-23,Last minute,hashtag,6
2022-03-22,Spd,hashtag,6
2022-03-22,India,hashtag,6
2022-03-22,Mog,hashtag,6
2022-03-22,Sc,hashtag,6
2022-03-22,Sarkceek,hashtag,6
2022-03-22,Ceekarmy,hashtag,6
2022-03-22,stoprussia,hashtag,6
2022-03-22,Sarknation,hashtag,6
2022-03-23,Chernihiv,hashtag,6
2022-03-22,Savemariupol,hashtag,6
2022-03-22,Closetheskyoverukraine,hashtag,6
2022-03-22,Cdu,hashtag,6
2022-03-22,Suffering,hashtag,6
2022-03-22,Longcovid,hashtag,6
2022-03-22,Istandwithukraine,hashtag,6
2022-03-22,Sumy,hashtag,6
2022-03-22,Muratov,hashtag,6
2022-03-22,Bbcbreakfast,hashtag,6
2022-03-23,Supportukraine,hashtag,6
2022-03-22,hypocrisy limit,hashtag,6
2022-03-22,Russiaukraineconflict,hashtag,6
2022-03-23,Moscow,hashtag,6
2022-03-22,Sontungmtp,hashtag,6
2022-03-22,Ceekvr,hashtag,6
2022-03-23,Kyivdiary,hashtag,6
2022-03-22,Sanctionrussianow,hashtag,6
2022-03-22,Magahatesukraine,hashtag,6
2022-03-22,Mentalhealth,hashtag,6
2022-03-22,Yemen,hashtag,6
2022-03-22,Oic48cfm,hashtag,6
2022-03-22,Poverty,hashtag,6
2022-03-22,Un,hashtag,6
2022-03-23,Nftcommunity,hashtag,6
2022-03-22,Rapperholicat10,hashtag,6
2022-03-22,Brittneygriner,hashtag,6
2022-03-22,Gostomel,hashtag,6
2022-03-23,Putinisawarcriminal,hashtag,6
2022-03-22,Vote,hashtag,6
2022-03-23,Qatar,hashtag,6
2022-03-22,Putinhitler,hashtag,6
2022-03-22,27,hashtag,6
2022-03-22,Nobelpeaceprize,hashtag,6
2022-03-22,Ukraineinvasion,hashtag,6
2022-03-22,Csu,hashtag,6
2022-03-22,Against war,hashtag,6
2022-03-22,Fx,hashtag,6
2022-03-22,Dubai,hashtag,6
2022-03-22,Or,hashtag,6
2022-03-23,Directan,hashtag,6
2022-03-22,Trump,hashtag,6
2022-03-22,Fl,hashtag,6
2022-03-22,Tpyxa,hashtag,6
2022-03-23,Poland,hashtag,6
2022-03-22,Dpr,hashtag,6
2022-03-22,Tpyxaenglish,hashtag,6
2022-03-22,Pa,hashtag,6
2022-03-23,Gas,hashtag,6
2022-03-22,Warday,hashtag,6
2022-03-22,Hitler,hashtag,6
2022-03-22,Turkey,hashtag,6
2022-03-23,Turkey,hashtag,6
2022-03-22,Fightlikeukrainian,hashtag,6
2022-03-22,Popup,hashtag,6
2022-03-22,Loveiscolorblind,hashtag,5
2022-03-22,Kramatorsk,hashtag,5
2022-03-22,United,hashtag,5
2022-03-22,Ny,hashtag,5
2022-03-22,Ukriane,hashtag,5
2022-03-22,Stopbloodytrade,hashtag,5
2022-03-22,Chernobyl,hashtag,5
2022-03-22,Z,hashtag,5
2022-03-22,Update,hashtag,5
2022-03-22,Fascism,hashtag,5
2022-03-22,Fakewar,hashtag,5
2022-03-22,Crimea,hashtag,5
2022-03-22,4,hashtag,5
2022-03-22,Salvini,hashtag,5
2022-03-22,Cryptocurrency,hashtag,5
2022-03-22,Warcrimes,hashtag,5
2022-03-23,Sanctions,hashtag,5
2022-03-22,Crypto,hashtag,5
2022-03-22,Weaponizedrape,hashtag,5
2022-03-22,Weapons,hashtag,5
2022-03-22,Nowarinukraine,hashtag,5
2022-03-22,Non-military,hashtag,5
2022-03-22,Bloodytrade,hashtag,5
2022-03-22,Food,hashtag,5
2022-03-22,Renaultgroup,hashtag,5
2022-03-22,Bubbliesforlenikiko2022,hashtag,5
2022-03-23,Tigray,hashtag,5
2022-03-22,Bsc,hashtag,5
2022-03-22,Russiagohome,hashtag,5
2022-03-22,Yekaterinburg,hashtag,5
2022-03-23,Russiainvadedukraine,hashtag,5
2022-03-22,Redcross,hashtag,5
2022-03-23,Help,hashtag,5
2022-03-23,USA,hashtag,5
2022-03-22,Schwesigs,hashtag,5
2022-03-22,Iraq,hashtag,5
2022-03-22,Quartarepubblica,hashtag,5
2022-03-23,Iraq,hashtag,5
2022-03-22,Israel,hashtag,5
2022-03-23,Zelenskyy,hashtag,5
2022-03-22,Get rid of it,hashtag,5
2022-03-23,Nowar,hashtag,5
2022-03-22,Foodsecurity,hashtag,5
2022-03-22,Capuozzo,hashtag,5
2022-03-22,Novayagazeta,hashtag,5
2022-03-22,France,hashtag,5
2022-03-22,Notjustputin,hashtag,5
2022-03-22,Weareallukrainians,hashtag,5
2022-03-22,Freenavalny,hashtag,5
2022-03-22,Zaporizhzhia,hashtag,5
2022-03-23,Stopwar,hashtag,5
2022-03-22,Noflyzoneoverukraine,hashtag,5
2022-03-22,Strongertogether,hashtag,5
2022-03-22,Bluevoices,hashtag,5
2022-03-22,Lithuania,hashtag,5
2022-03-23,Opec,hashtag,4
2022-03-22,Boris,hashtag,4
2022-03-22,Btc2,hashtag,4
2022-03-22,Oott,hashtag,4
2022-03-22,Putinwarcrimes,hashtag,4
2022-03-22,Rome,hashtag,4
2022-03-23,Nftartist,hashtag,4
2022-03-22,Nestleboycott,hashtag,4
2022-03-23,Belarus,hashtag,4
2022-03-22,Naziukraine,hashtag,4
2022-03-23,Russianarmy,hashtag,4
2022-03-22,Morningjoe,hashtag,4
2022-03-22,Oil,hashtag,4
2022-03-22,Moldova,hashtag,4
2022-03-22,Nftartist,hashtag,4
2022-03-22,Nowarwithukraine,hashtag,4
2022-03-22,Putin100,hashtag,4
2022-03-22,Presidential2022,hashtag,4
2022-03-22,Military,hashtag,4
2022-03-22,Scheherazade,hashtag,4
2022-03-22,covid,hashtag,4
2022-03-22,Pakistan,hashtag,4
2022-03-23,Stopthewar,hashtag,4
2022-03-22,Eth,hashtag,4
2022-03-23,Ukraine war,hashtag,4
2022-03-23,Vietnam,hashtag,4
2022-03-22,Art,hashtag,4
2022-03-23,Europeanunion,hashtag,4
2022-03-22,Aleksandarvučić,hashtag,4
2022-03-23,Urgent,hashtag,4
2022-03-23,Update,hashtag,4
2022-03-22,Covid19,hashtag,4
2022-03-22,Fckputin,hashtag,4
2022-03-22,Tigrayans,hashtag,4
2022-03-22,Tigrayanweaponizedrapevictims,hashtag,4
2022-03-23,Ukrainians,hashtag,4
2022-03-22,Ukrainianarmy,hashtag,4
2022-03-23,Ukrainewillresist,hashtag,4
2022-03-22,Ido,hashtag,4
2022-03-22,Icymi,hashtag,4
2022-03-22,Torylies,hashtag,4
2022-03-22,Zakarpattya,hashtag,4
2022-03-22,Coldresponse2022,hashtag,4
2022-03-23,Treasure,hashtag,4
2022-03-22,Zakharova,hashtag,4
2022-03-22,Genocide,hashtag,4
2022-03-22,Zelenzky,hashtag,4
2022-03-22,Conseildeparis,hashtag,4
2022-03-22,Ukraineconflict,hashtag,4
2022-03-22,UkraineRussia,hashtag,4
2022-03-22,Global,hashtag,4
2022-03-22,Giveawey,hashtag,4
2022-03-23,Sumy,hashtag,4
2022-03-22,Ipl2022,hashtag,4
2022-03-22,10,hashtag,4
2022-03-22,Westandwithukraine,hashtag,4
2022-03-22,Cybersecurity,hashtag,4
2022-03-22,Dkpol,hashtag,4
2022-03-22,Luhansk,hashtag,4
2022-03-22,Women,hashtag,4
2022-03-22,Lgbt,hashtag,4
2022-03-23,Wmd,hashtag,4
2022-03-22,Last minute,hashtag,4
2022-03-23,Yemen,hashtag,4
2022-03-22,Chefsforukraine,hashtag,4
2022-03-22,Solidaritywithukraine,hashtag,4
